0, 1, 3
0, 2, 12
0, 3, 9
1, 2, 13
1, 7, 24 
2, 7, 23
2, 8, 8
2, 4, 24
2, 3, 12
3, 4, 9
3, 21, 17
3, 23, 18 
4, 5, 0
4, 6, 14
4, 23, 18 
5, 8, 21
5, 14, 16
5, 13, 13
6, 23, 8
6, 14, 5
6, 24, 13
7, 8, 27
7, 9, 14
7, 10, 9
8, 9, 18
8, 13, 28
9, 10, 9
9, 11, 9
9, 12, 15
9, 13, 27
10, 11, 3
11, 12, 14
12, 13, 18
13, 14, 16
13, 15, 15
13, 16, 16
13, 17, 21
14, 15, 8
14, 18, 12
14, 25, 6
14, 24, 8
15, 16, 3
15, 18, 14
16, 17, 5
16, 19, 12
16, 18, 12
17, 19, 8
18, 25, 7
18, 20, 6
18, 19, 7
19, 20, 11
19, 39, 16
20, 37, 3
20, 39, 9
21, 22, 6
21, 23, 6
22, 23, 5
22, 24, 12
22, 28, 15
23, 24, 8
24, 25, 10
24, 26, 7
24, 28, 7
25, 26, 12
25, 37, 12
26, 27, 6
26, 36, 15
26, 30, 7
26, 28, 4
27, 37, 5
28, 29, 7
28, 30, 6
29, 30, 7
29, 32, 8
30, 34, 6
30, 36, 7
31, 32, 3
32, 33, 0
33, 34, 3
34, 35, 5
35, 36, 3
36, 37, 7
36, 38, 7
37, 38, 7
38, 39, 0
39, 40, 4
40, 41, 4
